plant,OptimalSoilDepth,AbsoluteSoilDepth,MinOptimalTemperature,MaxOptiomalTempreture,MinAbsoluteTemperature,MaxAbsoluteTemperature,OptimalSoilTexture,AbsoluteSoilTexture,OptimalRainfallMin,OptimalRainfallMax,AbsoluteRainfallMin,AbsoluteRainfallMax,OptimalSoilFertility,AbsoluteSoilFertility,OptimalLatitudeMin,OptimalLatitudeMax,AbsoluteLatitudeMin,AbsoluteLatitudeMax,OptimalSoilSalinity,AbsoluteSoilSalinity,OptimalSoilPhMin,OptimalSoilPhMax,AbsoluteSoilMin,AbsoluteSoilMax,OptimalSoilDrainage,AbsoluteSoilDrainage,OptimalLightIntensityMin,OptimalLightIntensityMax,AbsoluteLightIntensityMin,AbsuluteLightIntensityMax,ClimateZone,PhotoPeriod,MinCropCycle,MaxCropCycle
Trichoneura grandiglumis,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Trichosanthes cucumerina,medium (50-150 cm),shallow (20-50 cm),22,35,14,38,"heavy, medium, light","heavy, medium, light",2000,2500,700,4200,moderate,low,-,-,25,25,low (<4 dS/m),low (<4 dS/m),6.5,7,6,8,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),50,130
Trifolium africanum,medium (50-150 cm),shallow (20-50 cm),20,30,15,40,"heavy, medium","heavy, medium",750,1000,650,1100,moderate,low,26,25,34,35,,,5.5,7,4.5,7.5,well (dry spells),well (dry spells),clear skies,very bright,cloudy skies,very bright,subtropical humid (Cf),,0,0
Trifolium agrarium,medium (50-150 cm),shallow (20-50 cm),14,18,4,29,"medium, light","medium, light",600,1000,400,2700,moderate,low,45,40,60,62,low (<4 dS/m),low (<4 dS/m),5,6.2,4.3,8.2,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",long day (>14 hours),90,150
Trifolium alexandrinum,shallow (20-50 cm),shallow (20-50 cm),16,27,3,35,"heavy, medium","heavy, medium, light",450,900,300,1700,moderate,moderate,20,-,35,40,low (<4 dS/m),high (>10 dS/m)),6.5,7,4.9,7.5,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)",short day (<12 hours),90,270
Trifolium ambiguum,shallow (20-50 cm),shallow (20-50 cm),10,17,3,22,"heavy, medium","heavy, medium, light",800,1000,490,1200,moderate,low,40,30,50,60,low (<4 dS/m),low (<4 dS/m),5.5,6,4.5,7.3,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",long day (>14 hours),120,180
Trifolium arvense,medium (50-150 cm),shallow (20-50 cm),9,16,4,20,light,light,700,900,520,1200,low,low,45,40,55,50,low (<4 dS/m),low (<4 dS/m),6.2,6.8,6,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",clear skies,cloudy skies,very bright,cloudy skies,"temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,180
Trifolium burchellianum,medium (50-150 cm),shallow (20-50 cm),14,24,10,32,"medium, light","medium, light",700,2000,625,2500,moderate,low,10,-,30,34,,,5.5,6.5,5,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), subtropical humid (Cf)",,0,0
Trifolium campestre,medium (50-150 cm),shallow (20-50 cm),12,18,5,25,"medium, light","medium, light",700,900,570,1200,low,,35,29,57,65,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",long day (>14 hours),90,150
Trifolium cherlei,medium (50-150 cm),shallow (20-50 cm),15,25,3,30,"medium, light","heavy, medium, light",400,600,300,800,low,low,30,-,40,45,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Trifolium decorum,shallow (20-50 cm),shallow (20-50 cm),10,18,7,26,"heavy, medium","heavy, medium",1200,1800,1000,2000,moderate,low,13,12,16,17,,,4.5,6.5,4,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),70,120
Trifolium dubium,medium (50-150 cm),shallow (20-50 cm),12,18,5,25,"medium, light","medium, light",700,900,570,1200,low,low,38,35,57,60,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7,"well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,"subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc)",long day (>14 hours),90,150
Trifolium fragiferum,shallow (20-50 cm),shallow (20-50 cm),12,22,4,28,"heavy, medium","heavy, medium, light",600,900,450,1200,moderate,low,35,30,55,60,low (<4 dS/m),high (>10 dS/m)),6.5,7,5.3,9,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),120,270
Trifolium glanduliferum,medium (50-150 cm),shallow (20-50 cm),10,15,5,20,"heavy, medium","heavy, medium",400,550,350,600,moderate,low,32,30,43,45,,,5.5,7,4.5,7.5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs)",,100,180
Trifolium hirtum,shallow (20-50 cm),shallow (20-50 cm),15,24,5,30,"medium, light","heavy, medium, light",450,800,250,1400,moderate,low,20,20,45,45,low (<4 dS/m),low (<4 dS/m),6.5,7,5.5,8.2,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"desert or arid (Bw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),90,150
Trifolium hybridum,shallow (20-50 cm),shallow (20-50 cm),12,20,4,27,"heavy, medium",wide,700,900,300,1800,high,moderate,50,45,65,70,low (<4 dS/m),medium (4-10 dS/m),5.5,6.5,4.5,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,150
Trifolium incarnatum,medium (50-150 cm),shallow (20-50 cm),13,22,4,28,"heavy, medium, light","heavy, medium, light",700,1000,300,1500,moderate,moderate,35,10,60,60,low (<4 dS/m),low (<4 dS/m),6,7,4.8,8.3,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),100,170
Trifolium mattirolianum,shallow (20-50 cm),shallow (20-50 cm),15,28,7,32,"heavy, medium","heavy, medium",1100,1900,1000,2000,moderate,low,5,-,13,15,,,4.5,6.5,4,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),90,140
Trifolium medium,medium (50-150 cm),shallow (20-50 cm),8,16,4,20,"medium, light","heavy, medium, light",600,800,500,1000,high,moderate,45,40,60,65,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,cloudy skies,very bright,light shade,"subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,240
Trifolium michelianum,medium (50-150 cm),shallow (20-50 cm),20,25,10,30,"heavy, medium","heavy, medium",400,700,350,750,high,moderate,32,30,43,45,low (<4 dS/m),medium (4-10 dS/m),6.5,7.5,4.5,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs)",,100,180
Trifolium nigrescens,shallow (20-50 cm),shallow (20-50 cm),16,22,10,26,"heavy, medium","heavy, medium, light",1000,1200,620,1330,moderate,moderate,25,25,45,45,low (<4 dS/m),low (<4 dS/m),5.5,6.5,5,7,well (dry spells),"poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), temperate continental (Dc)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,240
Trifolium pilulare,medium (50-150 cm),shallow (20-50 cm),12,22,4,26,"medium, light","heavy, medium, light",400,600,300,800,high,moderate,30,30,55,55,low (<4 dS/m),low (<4 dS/m),5.6,7.5,6,8,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Trifolium polymorphum,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Trifolium pratense,medium (50-150 cm),shallow (20-50 cm),18,25,4,40,"medium, organic","heavy, medium, light",700,1200,300,2100,high,moderate,34,30,64,68,low (<4 dS/m),low (<4 dS/m),6,7.5,4.5,8.2,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",very bright,clear skies,very bright,light shade,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), boreal (E)",long day (>14 hours),120,300
Trifolium quartinianum,shallow (20-50 cm),shallow (20-50 cm),16,27,8,31,"heavy, medium","heavy, medium",900,1800,800,1900,moderate,low,-,-,12,13,,,5,7,4,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),65,100
Trifolium repens,shallow (20-50 cm),shallow (20-50 cm),14,22,4,26,"heavy, medium","heavy, medium, light",700,1200,300,2100,high,moderate,35,30,50,70,low (<4 dS/m),medium (4-10 dS/m),5.5,7,4.5,8.2,well (dry spells),well (dry spells),very bright,cloudy skies,very bright,light shade,"steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw), boreal (E)",long day (>14 hours),90,240
Trifolium resupinatum,medium (50-150 cm),shallow (20-50 cm),13,22,3,26,"heavy, medium","heavy, medium, light",600,900,300,1360,high,moderate,20,20,40,40,low (<4 dS/m),medium (4-10 dS/m),6,7,4.8,8.2,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,180
Trifolium rueppellianum,shallow (20-50 cm),shallow (20-50 cm),12,26,5,30,"heavy, medium","heavy, medium",1000,1900,700,2000,moderate,low,-,-,12,14,low (<4 dS/m),low (<4 dS/m),5,7,4,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),60,130
Trifolium semipilosum,medium (50-150 cm),shallow (20-50 cm),16,27,5,32,"heavy, medium, light","heavy, medium, light",600,1500,300,2000,high,moderate,-,-,25,31,low (<4 dS/m),low (<4 dS/m),5,6.5,4,8,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",cloudy skies,clear skies,cloudy skies,very bright,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,240
Trifolium steudneri,shallow (20-50 cm),shallow (20-50 cm),14,28,8,32,"heavy, medium","heavy, medium",1000,1800,700,2000,moderate,low,-,-,10,13,,,5,7,4,8,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),50,90
Trifolium subterraneum,shallow (20-50 cm),shallow (20-50 cm),15,25,3,30,light,"heavy, medium, light",500,1000,250,1630,moderate,low,30,25,50,55,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,8.2,well (dry spells),well (dry spells),cloudy skies,very bright,light shade,very bright,"steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)",long day (>14 hours),100,240
Trifolium tembense,shallow (20-50 cm),shallow (20-50 cm),17,26,10,30,"heavy, medium","heavy, medium",1000,1800,700,2000,moderate,low,-,-,10,13,,,5,7,4,8,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),65,135
Trifolium tomentosum,shallow (20-50 cm),shallow (20-50 cm),12,22,4,26,"medium, light","heavy, medium, light",500,700,300,900,moderate,low,30,30,40,40,low (<4 dS/m),low (<4 dS/m),6.5,7.5,6,8,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Trifolium usambarense,medium (50-150 cm),shallow (20-50 cm),15,28,12,32,"heavy, medium, light, wide","heavy, medium, light, wide",1000,1500,900,1600,moderate,low,-,-,10,14,,,4.5,6.5,4,7,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",clear skies,very bright,cloudy skies,very bright,tropical wet & dry (Aw),short day (<12 hours),50,90
Trifolium variegatum,shallow (20-50 cm),shallow (20-50 cm),14,19,6,25,"heavy, medium, light","heavy, medium, light",800,1000,560,1300,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6,6.5,5.5,7,poorly (saturated >50% of year),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),120,180
Trifolium vesiculosum,medium (50-150 cm),shallow (20-50 cm),15,21,8,26,"heavy, medium, light","heavy, medium, light",900,1100,600,1360,moderate,moderate,30,30,45,50,low (<4 dS/m),low (<4 dS/m),6,7,5,8.2,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"subtropical humid (Cf), subtropical dry summer (Cs), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)",long day (>14 hours),110,300
Trigonella foenum-graecum,medium (50-150 cm),medium (50-150 cm),13,27,5,32,"medium, light","medium, light",600,800,380,1550,moderate,low,30,-,50,-,low (<4 dS/m),medium (4-10 dS/m),7,7.5,5.3,8.2,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs), temperate oceanic (Do)",short day (<12 hours),60,120
Trigonella suavissima,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Triodia pungens,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Triplochiton scleroxylon,deep (>>150 cm),medium (50-150 cm),24,30,18,36,"medium, light","heavy, medium, light",1600,2400,1000,4000,high,moderate,-,-,10,10,low (<4 dS/m),low (<4 dS/m),5.5,6.5,4.5,7.5,well (dry spells),"well (dry spells), excessive (dry/moderately dry)",very bright,very bright,very bright,clear skies,tropical wet (Ar),short day (<12 hours),300,365
Tripsacum andersonii,medium (50-150 cm),shallow (20-50 cm),22,30,12,35,"medium, organic","heavy, medium, light, wide, organic",1500,2000,1000,3000,high,moderate,-,-,20,20,low (<4 dS/m),low (<4 dS/m),4,4.5,2.7,5,well (dry spells),"poorly (saturated >50% of year), well (dry spells)",very bright,cloudy skies,very bright,light shade,"tropical wet & dry (Aw), tropical wet (Ar)",short day (<12 hours),45,365
Tripsacum dactyloides,deep (>>150 cm),medium (50-150 cm),10,24,7,30,"heavy, medium, light, wide","heavy, medium, light, wide",800,1300,600,1500,high,moderate,-,-,38,42,low (<4 dS/m),low (<4 dS/m),6,7,5.5,7.5,"poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells)",cloudy skies,very bright,light shade,very bright,"tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf), temperate continental (Dc)",,140,300
Trisetum flavescens,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tristachya leucothrix,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,-,-,-,-,,,,,,,,,0,0
Tristania conferta,deep (>>150 cm),medium (50-150 cm),18,28,10,36,"heavy, medium","heavy, medium, light",1100,1500,900,1700,high,,16,16,33,33,low (<4 dS/m),low (<4 dS/m),5,6.5,4.5,7,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",180,300
Triticum aestivum,medium (50-150 cm),shallow (20-50 cm),15,23,5,27,"medium, organic","heavy, medium",750,900,300,1600,high,moderate,30,-,60,65,low (<4 dS/m),medium (4-10 dS/m),6,7,5.5,8.5,well (dry spells),well (dry spells),very bright,very bright,cloudy skies,very bright,"tropical wet & dry (Aw), tropical wet (Ar), desert or arid (Bw), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","neutral day (12-14 hours), long day (>14 hours)",90,250
Triticum compactum,medium (50-150 cm),shallow (20-50 cm),10,16,4,20,"medium, light","heavy, medium, light",600,900,300,1600,moderate,low,-,-,-,-,low (<4 dS/m),low (<4 dS/m),6.5,7.5,5.5,8.3,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
Triticum dicoccon,medium (50-150 cm),shallow (20-50 cm),15,20,4,25,light,light,500,900,300,1500,moderate,moderate,-,-,-,-,low (<4 dS/m),low (<4 dS/m),5.5,6.8,5,8.3,well (dry spells),well (dry spells),very bright,clear skies,very bright,cloudy skies,"tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw), temperate oceanic (Do), temperate continental (Dc), temperate with humid winters (Df), temperate with dry winters (Dw)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)",120,180
